id,name,lat,lng,slug,sku,url,icon
1547b269-da8e-4230-a9b7-9c11f974db1e,Echeñique Sur dte. 8660 / Plaza Carlos Ossandón,-33.44250107,-70.54139709,providencia-187-seminario-ref-3,,https://maps.oohpublicidad.cl/espacios-publicitarios/providencia-187-seminario-ref-3/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
4e9191d5-d72b-44f8-b442-4e8649f8ce3e,Echeñique fte. 6470 / Loreley,-33.4444,-70.5645,providencia-225-obispo-perez-de-espinoza-ref-1,,https://maps.oohpublicidad.cl/espacios-publicitarios/providencia-225-obispo-perez-de-espinoza-ref-1/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
233e275b-da7c-49a6-84a2-08b95b71d54d,Echeñique fte. 6752 / Monseñor Edwards,-33.4441,-70.5612,providencia-385-condell-ref-1,,https://maps.oohpublicidad.cl/espacios-publicitarios/providencia-385-condell-ref-1/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
f8085719-da0e-475f-8966-5d73a4f7ae50,Echeñique fte. 7618 / Vicente Pérez Rosales,-33.442,-70.5529,providencia-455-pasado-condell-ref-3,,https://maps.oohpublicidad.cl/espacios-publicitarios/providencia-455-pasado-condell-ref-3/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
63c0bce7-622a-4901-8291-6a30221a1097,Echeñique Norte fte. 8674 / Plaza Carlos Ossandón,-33.442298890000004,-70.54190063,providencia-655-general-salvo-ref-3,,https://maps.oohpublicidad.cl/espacios-publicitarios/providencia-655-general-salvo-ref-3/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
c50a1f0b-a7e5-494f-a568-3ee6deed301d,Javiera Carrera fte. 280 / Blest Gana,-33.45560074,-70.56639862,nva-providencia-entre-j-m-claro-y-m-montt-ref-3,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-entre-j-m-claro-y-m-montt-ref-3/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
269d6474-c453-41db-aa1b-2a13bae6a0cc,Javiera Carrera dte. 614 / Francisco Villagra,-33.45909882,-70.5667038,nva-providencia-1351-entre-manuel-montt-y-barros-borgono-ref-3,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1351-entre-manuel-montt-y-barros-borgono-ref-3/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
bd787608-b682-4270-9954-d5c72794c09f,José Arrieta fte. 6720 / Ictinos,-33.4624,-70.5596,nva-providencia-1351-entre-manuel-montt-y-barros-borgono-ref-1,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1351-entre-manuel-montt-y-barros-borgono-ref-1/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
db5b1d92-47ac-4186-b5c1-a91db9f50f9a,José Arrieta fte. 6720 / Ictinos,-33.4624,-70.5596,nva-providencia-1447-antonio-varas-ref-3,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1447-antonio-varas-ref-3/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
0d0f29f4-8b1c-42b9-8be6-a0aeb484fd84,José Arrieta dte. 6357 / Lynch sur,-33.46120071,-70.56569672,nva-providencia-1447-antonio-varas-ref-1,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1447-antonio-varas-ref-1/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
f95a8e37-b9ef-4f4c-b595-e04a2376869c,José Arrieta dte. 6024 / Paula Jaraquemada,-33.4601,-70.5689,nva-providencia-1657-carlos-antunez-torres-ref-1,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1657-carlos-antunez-torres-ref-1/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
c3c2a7e3-115d-4bfd-8416-87029ed766a8,José Arrieta dte. 6024 / Paula Jaraquemada,-33.4601,-70.5689,nva-providencia-1753-carlos-antunez-ref-3,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1753-carlos-antunez-ref-3/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
905a4620-bed8-4811-b6c8-6b0a03c5490c,José Arrieta fte. 7340 / Jacinto Chacón,-33.4624,-70.5527,nva-providencia-1753-carlos-antunez-ref-1,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1753-carlos-antunez-ref-1/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
9feacd0d-aa86-4449-a9ca-0ce4c91bb00d,José Arrieta fte. 7340 / Jacinto Chacón,-33.4624,-70.5527,nva-providencia-1877-marchant-pereira-ref-3,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1877-marchant-pereira-ref-3/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
9b2c3943-5db3-45bf-b5cf-0eaf6efddf60,José Arrieta fte. 8448 / Laura Rodriguez,-33.46269989,-70.54119873,nva-providencia-1877-marchant-pereira-ref-1,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1877-marchant-pereira-ref-1/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
260022da-632c-414f-a275-b02f6ddacbc7,Salvador fte. 691 / Rancagua,-33.43970108,-70.62470245,nva-providencia-1935-pedro-de-valdivia-sur-poniente-ref-3,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1935-pedro-de-valdivia-sur-poniente-ref-3/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
afb7f91f-0d10-4334-b37e-a855bf8ec616,José Arrieta fte. 8448 / Laura Rodriguez,-33.46269989,-70.54119873,nva-providencia-1935-pedro-de-valdivia-sur-poniente-ref-1,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-1935-pedro-de-valdivia-sur-poniente-ref-1/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
d1dfc5df-6ad3-4ac2-8171-3c527d2178e3,La Cañada dte. 6718 / Monseñor Edwards,-33.44179916,-70.56240082,nva-providencia-2045-pedro-de-valdivia-sur-oriente-ref-3,,https://maps.oohpublicidad.cl/espacios-publicitarios/nva-providencia-2045-pedro-de-valdivia-sur-oriente-ref-3/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
